Air Force,Falcons,Colorado Springs,Colorado,Mountain West,WAC,1955,
Akron,Zips,Akron,Ohio,MAC,"OAC, MCC, OVC",1891,1987
Alabama,Crimson Tide,Tuscaloosa,Alabama,SEC,"SIAA, SoCon",1892,
Appalachian State,Mountaineers,Boone,North Carolina,Sun Belt,"NSC, SoCon",1928,2014[n 1]
Arizona,Wildcats,Tucson,Arizona,Pac-12,"BIAA, WAC",1899,
Arizona State,Sun Devils,Tempe,Arizona,Pac-12,"BIAA, WAC",1896,
Arkansas,Razorbacks,Fayetteville,Arkansas,SEC,SWC,1894,
Arkansas State,Red Wolves,Jonesboro,Arkansas,Sun Belt,"Arkansas Intercollegiate Conference, Southland, Big West",1911,1992
Army,Black Knights,West Point,New York,Independent,C-USA,1890,
Auburn,Tigers,Auburn,Alabama,SEC,"SIAA, SoCon",1892,
Ball State,Cardinals,Muncie,Indiana,MAC,"IIC, ICC",1924,
Baylor,Bears,Waco,Texas,Big 12,"TIAA, SWC",1899,
Boise State,Broncos,Boise,Idaho,Mountain West,"ICAC, Big Sky, Big West, WAC",1933[n 2],1996
Boston College,Eagles,Chestnut Hill,Massachusetts,ACC,Big East,1893,
Bowling Green,Falcons,Bowling Green,Ohio,MAC,"Northwest Ohio Intercollegiate Athletic Association, OAC",1919,
Buffalo,Bulls,Buffalo,New York,MAC,New York State Conference,1894,1999
BYU,Cougars,Provo,Utah,Independent,"Rocky Mountain, Mountain States, WAC, MW",1922,
California,Golden Bears,Berkeley,California,Pac-12,PCC,1882,
Central Michigan,Chippewas,Mount Pleasant,Michigan,MAC,"MCC, IIAC",1896,
Charlotte,49ers,Charlotte,North Carolina,C-USA,"Sun Belt, C-USA, A-10",2013,2015
Cincinnati,Bearcats,Cincinnati,Ohio,American,"OAC, Buckeye Intercollegiate Athletic Association, MAC, MVC, C-USA, Big East",1885,
Clemson,Tigers,Clemson,South Carolina,ACC,"SIAA, SAIAA, SoCon",1896,
Coastal Carolina,Chanticleers,Conway,South Carolina,Sun Belt,Big South,2003,2017
Colorado,Buffaloes,Boulder,Colorado,Pac-12,"Colorado Football Association, Rocky Mountain, Mountain States, Big Eight, Big 12",1890,
Colorado State,Rams,Fort Collins,Colorado,Mountain West,"Colorado Football Association, Rocky Mountain, Mountain States, WAC",1890,
Duke,Blue Devils,Durham,North Carolina,ACC,SoCon,1888,
East Carolina,Pirates,Greenville,North Carolina,American,"NSC, Carolinas, SoCon, C-USA",1932,
Eastern Michigan,Eagles,Ypsilanti,Michigan,MAC,"MIAA, MCC, IIAC, PAC",1891,
FIU,Panthers,Miami,Florida,C-USA,Sun Belt,2002,2006
Florida,Gators,Gainesville,Florida,SEC,"SIAA, SoCon",1906,
Florida Atlantic,Owls,Boca Raton,Florida,C-USA,Sun Belt,2001,2006
Florida State,Seminoles,Tallahassee,Florida,ACC,Dixie,1947,
Fresno State,Bulldogs,Fresno,California,Mountain West,"California Coast Conference, NCAC, CCAA, Big West, WAC",1921,
Georgia,Bulldogs,Athens,Georgia,SEC,"SIAA, SoCon",1892,
Georgia Southern,Eagles,Statesboro,Georgia,Sun Belt,SoCon,1924,2014
Georgia State,Panthers,Atlanta,Georgia,Sun Belt,CAA,2010,2013
Georgia Tech,Yellow Jackets,Atlanta,Georgia,ACC,"SIAA, SoCon, SEC",1892,
Hawaii,Rainbow Warriors,Honolulu,Hawai'i,Mountain West,WAC,1909,
Houston,Cougars,Houston,Texas,American,"Lone Star, Gulf Coast, MVC, SWC, C-USA[n 3]",1946,
Illinois,Fighting Illini,Urbana–Champaign,Illinois,Big Ten,Illinois Intercollegiate Football League,1890,
Indiana,Hoosiers,Bloomington,Indiana,Big Ten,IIAA,1887,
Iowa,Hawkeyes,Iowa City,Iowa,Big Ten,"WIUFA, MVC",1889,
Iowa State,Cyclones,Ames,Iowa,Big 12,"MVC, Big 8",1892,
Kansas,Jayhawks,Lawrence,Kansas,Big 12,"KCAC, WIUFA, MVC, Big 8",1890,
Kansas State,Wildcats,Manhattan,Kansas,Big 12,"MVC, Big 8",1896,
Kent State,Golden Flashes,Kent,Ohio,MAC,OAC,1920,
Kentucky,Wildcats,Lexington,Kentucky,SEC,"SIAA, SoCon",1881,
Liberty,Flames,Lynchburg,Virginia,FBS Independent,Big South,1973,2017
Louisiana,Ragin' Cajuns,Lafayette,Louisiana,Sun Belt,"Louisiana Intercollegiate Athletic Association, Louisiana Intercollegiate Conference, Gulf States Conference, SIAA, Southland, Big West",1902,
Louisiana Tech,Bulldogs,Ruston,Louisiana,C-USA,"Louisiana Intercollegiate Athletic Association, Louisiana Intercollegiate Conference, Gulf States Conference, SIAA, Southland, Big West, WAC",1901,1989
UL Monroe,Warhawks,Monroe,Louisiana,Sun Belt,"Gulf States Conference, Southland, Independent",1951,1994
Louisville,Cardinals,Louisville,Kentucky,ACC,"KIAC, SIAA, KIAC, OVC, MVC, C-USA, Big East, American",1910,
LSU,Tigers,Baton Rouge,Louisiana,SEC,"SIAA, SoCon",1893,
Marshall,Thundering Herd,Huntington,West Virginia,C-USA,"WVIAC, Buckeye Conference, OVC, MAC, SoCon",1895,1997[n 1]
Maryland,Terrapins,College Park,Maryland,Big Ten,"MIFA, SAIAA, SoCon, ACC",1888,
Memphis,Tigers,Memphis,Tennessee,American,"Mississippi Valley Conference, SIAA, MVC, C-USA[n 3]",1912,
Miami (FL),Hurricanes,Coral Gables[n 4],Florida,ACC,"SIAA, Big East",1926[2],
Miami (OH),RedHawks,Oxford,Ohio,MAC,"OAC, Buckeye Conference",1888,
Michigan,Wolverines,Ann Arbor,Michigan,Big Ten,,1879,
Michigan State,Spartans,East Lansing,Michigan,Big Ten,MIAA,1885,
Middle Tennessee,Blue Raiders,Murfreesboro,Tennessee,C-USA,"VSAC, SIAA, OVC, Sun Belt",1911,1999
Minnesota,Golden Gophers,Minneapolis,Minnesota,Big Ten,,1882,
Mississippi State,Bulldogs,Starkville,Mississippi,SEC,"SIAA, SoCon",1895,
Missouri,Tigers,Columbia,Missouri,SEC,"WIUFA, Big 8, Big 12",1890,
Navy,Midshipmen,Annapolis,Maryland,American,Independent,1879,
NC State,Wolfpack,Raleigh,North Carolina,ACC,"SAIAA, SIAA, SoCon",1892,
Nebraska,Cornhuskers,Lincoln,Nebraska,Big Ten,"WIUFA, MVC, Big 8, Big 12",1890,
Nevada,Wolf Pack,Reno,Nevada,Mountain West,"NCAC, Big Sky, Big West, WAC",1896,1992
New Mexico,Lobos,Albuquerque,New Mexico,Mountain West,"BIAA, WAC",1892,
New Mexico State,Aggies,Las Cruces,New Mexico,Independent,"BIAA, MVC, Big West, Sun Belt, WAC",1893,
North Carolina,Tar Heels,Chapel Hill,North Carolina,ACC,"SAIAA, SIAA, SoCon",1888,
North Texas,Mean Green,Denton,Texas,C-USA,"TIAA, Lone Star, Gulf Coast Conference, MVC, Southland, Big West, Sun Belt",1913,1995
Northern Illinois,Huskies,DeKalb,Illinois,MAC,"IIAC, Big West",1899,
Northwestern,Wildcats,Evanston,Illinois,Big Ten,,1876,
Notre Dame,Fighting Irish,South Bend,Indiana,Independent,,1887,
Ohio,Bobcats,Athens,Ohio,MAC,"OAC, Buckeye Conference",1894,
Ohio State,Buckeyes,Columbus,Ohio,Big Ten,OAC,1889,
Oklahoma,Sooners,Norman,Oklahoma,Big 12,"Oklahoma Intercollegiate Conference, SWC, MVC, Big 8",1895,
Oklahoma State,Cowboys,Stillwater,Oklahoma,Big 12,"Oklahoma Intercollegiate Conference, SWC, MVC, Big 8",1901,
Old Dominion,Monarchs,Norfolk,Virginia,C-USA,CAA,2009,2014
Ole Miss,Rebels,Oxford,Mississippi,SEC,"SIAA, SoCon",1890,
Oregon,Ducks,Eugene,Oregon,Pac-12,"PCC, Independent",1894,
Oregon State,Beavers,Corvallis,Oregon,Pac-12,"PCC, Independent",1893,
Penn State,Nittany Lions,University Park,Pennsylvania,Big Ten,,1881,
Pittsburgh,Panthers,Pittsburgh,Pennsylvania,ACC,Big East,1890,
Purdue,Boilermakers,West Lafayette,Indiana,Big Ten,IIAA,1887,
Rice,Owls,Houston,Texas,C-USA,"TIAA, SWC, WAC",1912,
Rutgers,Scarlet Knights,Piscataway,New Jersey,Big Ten,"Middle Atlantic, Big East, American",1869,
San Diego State,Aztecs,San Diego,California,Mountain West,"Southern California Junior College Conference, SCIAC, CCAA, Big West, WAC",1921,1969
San Jose State,Spartans,San Jose,California,Mountain West,"California Coast Conference, NCAC, California Collegiate, Big West, WAC",1892,
SMU,Mustangs,University Park,Texas,American,"TIAA, SWC, WAC, C-USA[n 3]",1915,
South Alabama,Jaguars,Mobile,Alabama,Sun Belt,,2009,2012
South Carolina,Gamecocks,Columbia,South Carolina,SEC,"SIAA, SoCon, ACC",1892,
South Florida,Bulls,Tampa,Florida,American,"C-USA, Big East",1997,2001
Southern Miss,Golden Eagles,Hattiesburg,Mississippi,C-USA,"Gulf States Conference, SIAA",1912,
Stanford,Cardinal,Stanford,California,Pac-12,PCC,1891,
Syracuse,Orange,Syracuse,New York,ACC,Big East,1889,
TCU,Horned Frogs,Fort Worth,Texas,Big 12,"TIAA, SWC, WAC, C-USA, MW",1896,
Temple,Owls,Philadelphia,Pennsylvania,American,"Middle Atlantic, Big East, MAC, Big East",1894,
Tennessee,Volunteers,Knoxville,Tennessee,SEC,"SIAA, SoCon",1891,
Texas,Longhorns,Austin,Texas,Big 12,"SIAA, TIAA, SWC",1893,
Texas A&M,Aggies,College Station,Texas,SEC,"SIAA, SWC, Big 12",1894,
Texas State,Bobcats,San Marcos,Texas,Sun Belt,"TIAA, Lone Star, Gulf Star, Southland, WAC",1904,2012
Texas Tech,Red Raiders,Lubbock,Texas,Big 12,"BIAA, SWC",1925,
Toledo,Rockets,Toledo,Ohio,MAC,"Northwestern Ohio Intercollegiate Athletic Association, OAC",1917,
Troy,Trojans,Troy,Alabama,Sun Belt,"Alabama Intercollegiate Conference, SIAA, Alabama Collegiate Conference, Mid-South Athletic Conference, Gulf South, Southland",1909,2002
Tulane,Green Wave,New Orleans,Louisiana,American,"SIAA, SoCon, SEC, C-USA",1893,
Tulsa,Golden Hurricane,Tulsa,Oklahoma,American,"Oklahoma Intercollegiate Conference, Big 4 Conference, MVC, WAC, C-USA",1895,
UAB,Blazers,Birmingham,Alabama,C-USA,,1991,1999
UCF,Knights,Orlando,Florida,American,"MAC, C-USA",1979,1996
UCLA,Bruins,Los Angeles,California,Pac-12,"SCIAC, PCC",1919,
UConn,Huskies,Storrs[n 5],Connecticut,American,"Yankee, A-10, Big East",1896,2000
UMass,Minutemen,Amherst,Massachusetts,Independent,"Yankee, A-10, CAA, MAC",1879,2012
UNLV,Rebels,Las Vegas[n 6],Nevada,Mountain West,"Big West, WAC",1968,1978
USC,Trojans,Los Angeles,California,Pac-12,PCC,1888,
Utah,Utes,Salt Lake City,Utah,Pac-12,"Colorado Football Association, RMAC, Mountain States, WAC, MW",1892,
Utah State,Aggies,Logan,Utah,Mountain West,"Colorado Football Association, RMAC, Mountain States, Big West, Independent, Sun Belt, WAC",1892,
UTEP,Miners,El Paso,Texas,C-USA,"BIAA, WAC",1914,
UTSA,Roadrunners,San Antonio,Texas,C-USA,WAC,2011,2012
Vanderbilt,Commodores,Nashville,Tennessee,SEC,"SIAA, SoCon",1890,
Virginia,Cavaliers,Charlottesville,Virginia,ACC,"SAIAA, SoCon",1888,
Virginia Tech,Hokies,Blacksburg,Virginia,ACC,"SAIAA, SIAA, SoCon, Big East",1892,
Wake Forest,Demon Deacons,Winston-Salem,North Carolina,ACC,"Big Five Conference, SoCon",1888,
Washington,Huskies,Seattle,Washington,Pac-12,PCC,1889,
Washington State,Cougars,Pullman,Washington,Pac-12,"PCC, Independent",1893,
West Virginia,Mountaineers,Morgantown,West Virginia,Big 12,"SoCon, WVIAC, Big East",1891,
Western Kentucky,Hilltoppers,Bowling Green,Kentucky,C-USA,"SIAA, KIAC, OVC, MVFC, Sun Belt",1913,2009
Western Michigan,Broncos,Kalamazoo,Michigan,MAC,MCC,1905,
Wisconsin,Badgers,Madison,Wisconsin,Big Ten,,1889,
Wyoming,Cowboys,Laramie,Wyoming,Mountain West,"Colorado Football Association, RMAC, WAC",1893,
