School, City and State, Region, Conference, Division,,,,,
Mississippi," ""University"," MISSISSIPPI""", Mid South, Southeastern Conference  , NCAA I-A  ,#REF!,Mississippi,,
Mississippi State," ""Mississippi State"," MISSISSIPPI""", Mid South, Southeastern Conference  , NCAA I-A  ,#REF!,Mississippi State,#74302E,#FFFFFF
Mississippi Valley State," ""Itta Bena"," MISSISSIPPI""", Mid South, Southwestern Athletic Conference  , NCAA I-AA  ,X,Mississippi Valley State,,
Missouri," ""Columbia"," MISSOURI""", Mid West, Southeastern Conference  , NCAA I-A  ,X,Missouri,#000000,#FFCC33
Missouri State," ""Springfield"," MISSOURI""", Mid West, Missouri Valley Conference  , NCAA I-AA  ,X,Missouri State,#810541,#E32636
Monmouth," ""West Long Branch"," NEW JERSEY""", North East, Big South Conference  , NCAA I-AA  ,X,Monmouth,#186ed1,#186ed1
Montana," ""Missoula"," MONTANA""", North West, Big Sky Conference  , NCAA I-AA  ,#REF!,Montana,#660033,#999999
Montana State," ""Bozeman"," MONTANA""", North West, Big Sky Conference  , NCAA I-AA  ,X,Montana State,#0a1f62,#0a1f62
Morehead State," ""Morehead"," KENTUCKY""", Mid East, Pioneer Football League  , NCAA I-AA  ,X,Morehead State,#edd5a6,#edd5a6
Morgan State," ""Baltimore"," MARYLAND""", North East, Mid-Eastern Athletic Conference  , NCAA I-AA  ,X,Morgan State,#FF8C00,#003082
Murray State," ""Murray"," KENTUCKY""", Mid East, Ohio Valley Conference  , NCAA I-AA  ,X,Murray State,#000033,#FFCC00
Navy," ""Annapolis"," MARYLAND""", North East, American Athletic Conference  , NCAA I-A  ,#REF!,Navy,#000080,#D4AF37
Nebraska," ""Lincoln"," NEBRASKA""", Mid West, Big Ten Conference  , NCAA I-A  ,X,Nebraska,#FF2400,#FFFDD0
Nevada," ""Reno"," NEVADA""", South West, Mountain West Conference  , NCAA I-A  ,X,Nevada,,
New Hampshire," ""Durham"," NEW HAMPSHIRE""", New England, Colonial Athletic Association  , NCAA I-AA  ,#REF!,New Hampshire,#00337F,#FFFFFF
New Mexico," ""Albuquerque"," NEW MEXICO""", South West, Mountain West Conference  , NCAA I-A  ,X,New Mexico,#CCCCCC,#E8112D
New Mexico State," ""Las Cruces"," NEW MEXICO""", South West, Sun Belt Conference  , NCAA I-A  ,X,New Mexico State,#800020,#800020
Nicholls State," ""Thibodaux"," LOUISIANA""", Mid South, Southland Conference  , NCAA I-AA  ,#REF!,Nicholls State,#081C90,#081C90
Norfolk State," ""Norfolk"," VIRGINIA""", Mid East, Mid-Eastern Athletic Conference  , NCAA I-AA  ,#REF!,Norfolk State,#69005C,#69005C
North Alabama," ""Florence"," ALABAMA""", South East, Gulf South Conference  , NCAA I-AA  ,X,North Alabama,,
North Carolina A&T State," ""Greensboro"," NORTH CAROLINA""", Mid East, Mid-Eastern Athletic Conference  , NCAA I-AA  ,X,North Carolina A&T,,
North Carolina," ""Chapel Hill"," NORTH CAROLINA""", Mid East, Atlantic Coast Conference  , NCAA I-A  ,X,North Carolina,#6699CC,#FFFFFF
North Carolina at Charlotte," ""Charlotte"," NORTH CAROLINA""", Mid East, Conference USA  , NCAA I-A  ,X,,,
North Carolina Central," ""Durham"," NORTH CAROLINA""", Mid East, Mid-Eastern Athletic Conference  , NCAA I-AA  ,X,North Carolina Central,,
North Carolina State," ""Raleigh"," NORTH CAROLINA""", Mid East, Atlantic Coast Conference  , NCAA I-A  ,X,North Carolina State,#e00000,#FFFFFF
North Dakota," ""Grand Forks"," NORTH DAKOTA""", North West, Big Sky Conference  , NCAA I-AA  ,X,North Dakota,#00A000,#ffffff
North Dakota State," ""Fargo"," NORTH DAKOTA""", North West, Missouri Valley Conference  , NCAA I-AA  ,X,North Dakota State,,
North Texas," ""Denton"," TEXAS""", Mid South, Conference USA  , NCAA I-A  ,X,North Texas,#059033,#FFFFFF
Northern Arizona," ""Flagstaff"," ARIZONA""", South West, Big Sky Conference  , NCAA I-AA  ,#REF!,Northern Arizona,#003366,#557565
Northern Colorado," ""Greeley"," COLORADO""", South West, Big Sky Conference  , NCAA I-AA  ,#REF!,Northern Colorado,,
Northern Illinois," ""DeKalb"," ILLINOIS""", Great Lakes, Mid-American Conference  , NCAA I-A  ,X,Northern Illinois,#000000,#C41E3A
Northern Iowa," ""Cedar Falls"," IOWA""", Mid West, Missouri Valley Conference  , NCAA I-AA  ,X,Northern Iowa,#660099,#FFD700
Northwestern," ""Evanston"," ILLINOIS""", Great Lakes, Big Ten Conference  , NCAA I-A  ,X,Northwestern,#431F81,#FFFFFF
Northwestern State," ""Natchitoches"," LOUISIANA""", Mid South, Southland Conference  , NCAA I-AA  ,X,Northwestern State,#660099,#FFFFFF
Notre Dame," ""Notre Dame"," INDIANA""", Great Lakes, Division I-A Independents  , NCAA I-A  ,#REF!,Notre Dame,#C5B358,#002649
Ohio," ""Athens"," OHIO""", Great Lakes, Mid-American Conference  , NCAA I-A  ,#REF!,Ohio,#006633,#FFFFFF
Ohio State," ""Columbus"," OHIO""", Great Lakes, Big Ten Conference  , NCAA I-A  ,#REF!,Ohio State,#FF2000,#AAAAAA
Oklahoma," ""Norman"," OKLAHOMA""", Mid South, Big 12 Conference  , NCAA I-A  ,X,Oklahoma,#960018,#FFFDD0
Oklahoma State," ""Stillwater"," OKLAHOMA""", Mid South, Big 12 Conference  , NCAA I-A  ,#REF!,Oklahoma State,#FF6600,#000000
Old Dominion," ""Norfolk"," VIRGINIA""", Mid East, Conference USA  , NCAA I-A  ,#REF!,Old Dominion,#002b5f,#a8adb4
Oregon," ""Eugene"," OREGON""", West Coast, Pacific-12 Conference  , NCAA I-A  ,#REF!,Oregon,#006666,#FFCC00
Oregon State," ""Corvallis"," OREGON""", West Coast, Pacific-12 Conference  , NCAA I-A  ,X,Oregon State,#CC5500,#000000
Penn State," ""University Park"," PENNSYLVANIA""", North East, Big Ten Conference  , NCAA I-A  ,X,Penn State,#162952,#FFFFFF
Pennsylvania - Penn," ""Philadelphia"," PENNSYLVANIA""", North East, Ivy League  , NCAA I-AA  ,X,Pennsylvania,#990000,#011F5B
Pittsburgh," ""Pittsburgh"," PENNSYLVANIA""", North East, Atlantic Coast Conference  , NCAA I-A  ,X,Pittsburgh,#091C44,#CEC499
Portland State," ""Portland"," OREGON""", West Coast, Big Sky Conference  , NCAA I-AA  ,#REF!,Portland State,#02461D,#FFFFFF
Prairie View A & M," ""Prairie View"," TEXAS""", Mid South, Southwestern Athletic Conference  , NCAA I-AA  ,#REF!,Prairie View A&M,,
Presbyterian," ""Clinton"," SOUTH CAROLINA""", South East, Big South Conference  , NCAA I-AA  ,#REF!,Presbyterian,,
Princeton," ""Princeton"," NEW JERSEY""", North East, Ivy League  , NCAA I-AA  ,X,Princeton,#FF6600,#000000
Purdue," ""West Lafayette"," INDIANA""", Great Lakes, Big Ten Conference  , NCAA I-A  ,#REF!,Purdue,#b1946c,#000000
Rhode Island," ""Kingston"," RHODE ISLAND""", New England, Colonial Athletic Association  , NCAA I-AA  ,#REF!,Rhode Island,#75B2DD,#347C17
Rice," ""Houston"," TEXAS""", Mid South, Conference USA  , NCAA I-A  ,X,Rice,#002469,#5e6062
Richmond," ""University of Richmond"," VIRGINIA""", Mid East, Colonial Athletic Association  , NCAA I-AA  ,#REF!,Richmond,#000066,#990000
Robert Morris," ""Moon Township"," PENNSYLVANIA""", North East, Northeast Conference  , NCAA I-AA  ,X,Robert Morris,#000064,#646464
Rutgers," ""Piscataway"," NEW JERSEY""", North East, Big Ten Conference  , NCAA I-A  ,#REF!,Rutgers,#CF0015,#D21034
Sacred Heart," ""Fairfield"," CONNECTICUT""", New England, Northeast Conference  , NCAA I-AA  ,X,Sacred Heart,#B22222,#FFFFFF
Saint Francis," ""Loretto"," PENNSYLVANIA""", North East, Northeast Conference  , NCAA I-AA  ,X,Saint Francis,,
Sam Houston State," ""Huntsville"," TEXAS""", Mid South, Southland Conference  , NCAA I-AA  ,#REF!,Sam Houston State,#5858FA,#5858FA
Samford," ""Birmingham"," ALABAMA""", South East, Southern Conference  , NCAA I-AA  ,#REF!,Samford,#ca1009,#14295e
San Diego," ""San Diego"," CALIFORNIA""", West Coast, Pioneer Football League  , NCAA I-AA  ,X,San Diego,#0031AD,#75B2DD
San Diego State," ""San Diego"," CALIFORNIA""", West Coast, Mountain West Conference  , NCAA I-A  ,X,San Diego State,#A81933,#000000
San Jose State," ""San Jose"," CALIFORNIA""", West Coast, Mountain West Conference  , NCAA I-A  ,X,San Jose State,#c79900,#005a8b
Savannah State,,,Southern,Southern, NCAA I-AA  ,X,Savannah State,#FF6600,#00209F
South Alabama," ""Mobile"," ALABAMA""", South East, Sun Belt Conference  , NCAA I-A  ,X,South Alabama,#ff0000,#ffffff
South Carolina," ""Columbia"," SOUTH CAROLINA""", South East, Southeastern Conference  , NCAA I-A  ,X,South Carolina,#8C2633,#000000
South Carolina State," ""Orangeburg"," SOUTH CAROLINA""", South East, Mid-Eastern Athletic Conference  , NCAA I-AA  ,X,South Carolina State,#960018,#69005C
South Dakota," ""Vermillion"," SOUTH DAKOTA""", North West, Missouri Valley Conference  , NCAA I-AA  ,X,South Dakota,,
South Dakota State," ""Brookings"," SOUTH DAKOTA""", North West, Missouri Valley Conference  , NCAA I-AA  ,X,South Dakota State,#0000FF,#FFFF00
South Florida," ""Tampa"," FLORIDA""", South East, American Athletic Conference  , NCAA I-A  ,#REF!,South Florida,#395f4a,#C5B358
Southeast Missouri State," ""Cape Girardeau"," MISSOURI""", Mid West, Ohio Valley Conference  , NCAA I-AA  ,X,Southeast Missouri State,#FF0000,#000000
Southeastern Louisiana," ""Hammond"," LOUISIANA""", Mid South, Southland Conference  , NCAA I-AA  ,#REF!,Southeastern Louisiana,#006643,#EAAB00
Southern," ""Baton Rouge"," LOUISIANA""", Mid South, Southwestern Athletic Conference  , NCAA I-AA  ,X,Southern,#75B2DD,#081C90
USC," ""Los Angeles"," CALIFORNIA""", West Coast, Pacific-12 Conference  , NCAA I-A  ,#REF!,,,
Southern Illinois," ""Carbondale"," ILLINOIS""", Great Lakes, Missouri Valley Conference  , NCAA I-AA  ,X,Southern Illinois,#800000,#FFFFFF
Southern Methodist," ""Dallas"," TEXAS""", Mid South, American Athletic Conference  , NCAA I-A  ,X,Southern Methodist,#B10000,#032B66
Southern Mississippi," ""Hattiesburg"," MISSISSIPPI""", Mid South, Conference USA  , NCAA I-A  ,X,Southern Miss,#000000,#FFD700
Southern Utah," ""Cedar City"," UTAH""", South West, Big Sky Conference  , NCAA I-AA  ,X,Southern Utah,#FF0000,#FFFFFF
Stanford," ""Stanford"," CALIFORNIA""", West Coast, Pacific-12 Conference  , NCAA I-A  ,X,Stanford,#990000,#FFFFFF
Stephen F Austin State," ""Nacogdoches"," TEXAS""", Mid South, Southland Conference  , NCAA I-AA  ,X,Stephen F. Austin,,
Stetson," ""DeLand"," FLORIDA""", South East, Pioneer Football League  , NCAA I-AA  ,X,Stetson,#006000,#FFFFFF
Stony Brook," ""Stony Brook"," NEW YORK""", North East, Colonial Athletic Association  , NCAA I-AA  ,#REF!,Stony Brook,#FF0101,#646464
Syracuse," ""Syracuse"," NEW YORK""", North East, Atlantic Coast Conference  , NCAA I-A  ,X,Syracuse,#FF7F00,#ffffff
Temple," ""Philadelphia"," PENNSYLVANIA""", North East, American Athletic Conference  , NCAA I-A  ,X,Temple,#a81625,#000000
Tennessee," ""Knoxville"," TENNESSEE""", Mid East, Southeastern Conference  , NCAA I-A  ,#REF!,Tennessee,#f77f00,#FFFFFF
Tennessee State," ""Nashville"," TENNESSEE""", Mid East, Ohio Valley Conference  , NCAA I-AA  ,#REF!,Tennessee State,#D2DDFC,#D2DDFC
Tennessee Tech," ""Cookeville"," TENNESSEE""", Mid East, Ohio Valley Conference  , NCAA I-AA  ,X,Tennessee Tech,#D2DDFC,#D2DDFC
Texas," ""Austin"," TEXAS""", Mid South, Big 12 Conference  , NCAA I-A  ,#REF!,Texas,#CC5500,#FFFFFF
UTEP," ""El Paso"," TEXAS""", Mid South, Conference USA  , NCAA I-A  ,X,UTEP,#FF7F00,#000080
Texas - San Antonio," ""San Antonio"," TEXAS""", Mid South, Conference USA  , NCAA I-A  ,X,Texas-San Antonio,,
Texas A&M," ""College Station"," TEXAS""", Mid South, Southeastern Conference  , NCAA I-A  ,X,Texas A&M,,
TCU," ""Fort Worth"," TEXAS""", Mid South, Big 12 Conference  , NCAA I-A  ,X,TCU,#342A7B,#FFFFFF
Texas Southern," ""Houston"," TEXAS""", Mid South, Southwestern Athletic Conference  , NCAA I-AA  ,X,Texas Southern,#ccccff,#ccccff
Texas State," ""San Marcos"," TEXAS""", Mid South, Sun Belt Conference  , NCAA I-A  ,X,Texas State,,
Texas Tech," ""Lubbock"," TEXAS""", Mid South, Big 12 Conference  , NCAA I-A  ,#REF!,Texas Tech,#CC0000,#000000
UIW," ""San Antonio"," TEXAS""", Mid South, Southland Conference  , NCAA I-AA  ,#REF!,,,
Toledo," ""Toledo"," OHIO""", Great Lakes, Mid-American Conference  , NCAA I-A  ,X,Toledo,#191970,#FFD700
Towson," ""Towson"," MARYLAND""", North East, Colonial Athletic Association  , NCAA I-AA  ,X,Towson,#000000,#FFE600
Troy," ""Troy"," ALABAMA""", South East, Sun Belt Conference  , NCAA I-A  ,X,Troy,#C41E3A,#000000
Tulane," ""New Orleans"," LOUISIANA""", Mid South, American Athletic Conference  , NCAA I-A  ,X,Tulane,#063003,#063003
Tulsa," ""Tulsa"," OKLAHOMA""", Mid South, American Athletic Conference  , NCAA I-A  ,X,Tulsa,#CFB53B,#084c9e
UC Davis," ""Davis"," CALIFORNIA""", West Coast, Big Sky Conference  , NCAA I-AA  ,X,UC Davis,#002666,#BF9900
UCLA," ""Los Angeles"," CALIFORNIA""", West Coast, Pacific-12 Conference  , NCAA I-A  ,X,UCLA,,
UNLV," ""Las Vegas"," NEVADA""", South West, Mountain West Conference  , NCAA I-A  ,#REF!,UNLV,,
UT Martin," ""Martin"," TENNESSEE""", Mid East, Ohio Valley Conference  , NCAA I-AA  ,#REF!,UT Martin,#a02643,#a02643
Utah," ""Salt Lake City"," UTAH""", South West, Pacific-12 Conference  , NCAA I-A  ,X,Utah,#CC0000,#FFFFFF
Utah State," """," UTAH""", South West, Mountain West Conference  , NCAA I-A  ,X,Utah State,#003366,#FFFFFF
Valparaiso," ""Valparaiso"," INDIANA""", Great Lakes, Pioneer Football League  , NCAA I-AA  ,#REF!,Valparaiso,#964B00,#FFD700
Vanderbilt," ""Nashville"," TENNESSEE""", Mid East, Southeastern Conference  , NCAA I-A  ,X,Vanderbilt,#000000,#997F3D
Villanova," ""Villanova"," PENNSYLVANIA""", North East, Colonial Athletic Association  , NCAA I-AA  ,#REF!,Villanova,#00337F,#ADD8E6
Virginia," ""Charlottesville"," VIRGINIA""", Mid East, Atlantic Coast Conference  , NCAA I-A  ,X,Virginia,#193980,#193980
Virginia Military Institute - VMI," ""Lexington"," VIRGINIA""", Mid East, Big South Conference  , NCAA I-AA  ,X,Virginia Military,,
Virginia Tech," ""Blacksburg"," VIRGINIA""", Mid East, Atlantic Coast Conference  , NCAA I-A  ,X,Virginia Tech,#660000,#ff6600
Wagner College," ""Staten Island"," NEW YORK""", North East, Northeast Conference  , NCAA I-AA  ,X,Wagner,#186ed1,#186ed1
Wake Forest," ""Winston-Salem"," NORTH CAROLINA""", Mid East, Atlantic Coast Conference  , NCAA I-A  ,X,Wake Forest,,
Washington," ""Seattle"," WASHINGTON""", West Coast, Pacific-12 Conference  , NCAA I-A  ,X,Washington,#363c74,#e8d3a2
Washington State," ""Pullman"," WASHINGTON""", West Coast, Pacific-12 Conference  , NCAA I-A  ,X,Washington State,#9e1b34,#606a74
Weber State," ""Ogden"," UTAH""", South West, Big Sky Conference  , NCAA I-AA  ,#REF!,Weber State,#4b2187,#FFFFFF
West Virginia," ""Morgantown"," WEST VIRGINIA""", Mid East, Big 12 Conference  , NCAA I-A  ,#REF!,West Virginia,#FFCC00,#003366
Western Carolina," ""Cullowhee"," NORTH CAROLINA""", Mid East, Southern Conference  , NCAA I-AA  ,X,Western Carolina,#592c87,#c0a878
Western Illinois," ""Macomb"," ILLINOIS""", Great Lakes, Missouri Valley Conference  , NCAA I-AA  ,X,Western Illinois,#5B027A,#FFDB00
Western Kentucky," ""Bowling Green"," KENTUCKY""", Mid East, Conference USA  , NCAA I-A  ,X,Western Kentucky,#FF2222,#00457c
Western Michigan," ""Kalamazoo"," MICHIGAN""", Great Lakes, Mid-American Conference  , NCAA I-A  ,X,Western Michigan,#6a3e0f,#e3bc85
William & Mary," ""Williamsburg"," VIRGINIA""", Mid East, Colonial Athletic Association  , NCAA I-AA  ,X,William & Mary,,
Wisconsin," ""Madison"," WISCONSIN""", Great Lakes, Big Ten Conference  , NCAA I-A  ,#REF!,Wisconsin,#cc1122,#FFFFFF
Wofford College," ""Spartanburg"," SOUTH CAROLINA""", South East, Southern Conference  , NCAA I-AA  ,#REF!,Wofford,#CFB53B,#000000
Wyoming," ""Laramie"," WYOMING""", North West, Mountain West Conference  , NCAA I-A  ,X,Wyoming,#492f24,#ffc425
Yale," ""New Haven"," CONNECTICUT""", New England, Ivy League  , NCAA I-AA  ,X,Yale,#000066,#FFFFFF
Youngstown State," ""Youngstown"," OHIO""", Great Lakes, Missouri Valley Conference  , NCAA I-AA,,Youngstown State,#FF0000,#FFFFFF
